Gene;Tier;;;
RUNX1T1;2;;;
SETD2;2;;;
SMAD2;2;;;
SMAD4;2;;;
SMC1A;2;;;
SMC3;2;;;
SOCS1;2;;;
SOX10;2;;;
SOX17;2;;;
SOX2;2;;;
SOX9;2;;;
SPEN;2;;;
SPOP;2;;;
SRC;2;;;
STAG2;2;;;
STAT3;2;;;
SUZ12;2;;;
SYK;2;;;
TBX3;2;;;
TCF7L2;2;;;
TERT;2;;;
TET2;2;;;
TGFBR2;2;;;
TNFAIP3;2;;;
TNFRSF14;2;;;
TOP1;2;;;
TOP2A;2;;;
TP63;2;;;
TSHR;2;;;
VTCN1;2;;;
WT1;2;;;
XPO1;2;;;
XRCC2;2;;;
YES1;2;;;
ZFHX3;2;;;
ZNF217;2;;;
A1CF;3;;;
ABI1;3;;;
ACKR3;3;;;
ACSL3;3;;;
ACSL6;3;;;
ACVR1;3;;;
ACVR2A;3;;;
AFDN;3;;;
AFF1;3;;;
AFF3;3;;;
AFF4;3;;;
AKAP9;3;;;
ALDH2;3;;;
ANK1;3;;;
APOBEC3B;3;;;
ARHGAP26;3;;;
ARHGAP35;3;;;
ARHGAP5;3;;;
ARHGEF10;3;;;
ARHGEF10L;3;;;
ARHGEF12;3;;;
ARNT;3;;;
ASPSCR1;3;;;
ATF1;3;;;
ATIC;3;;;
ATP1A1;3;;;
ATP2B3;3;;;
BAX;3;;;
BAZ1A;3;;;
BCL10;3;;;
BCL11A;3;;;
BCL11B;3;;;
BCL2L12;3;;;
BCL3;3;;;
BCL7A;3;;;
BCL9;3;;;
BCL9L;3;;;
BCLAF1;3;;;
BCR;3;;;
BIRC3;3;;;
BIRC6;3;;;
BMP5;3;;;
BMPR1A;3;;;
BRD3;3;;;
BRD4;3;;;
BTG1;3;;;
BTG2;3;;;
BUB1B;3;;;
C15orf65;3;;;
CACNA1D;3;;;
CAMTA1;3;;;
CANT1;3;;;
CARS;3;;;
CASP3;3;;;
CASP9;3;;;
CBFA2T3;3;;;
CBLB;3;;;
CBLC;3;;;
CCDC6;3;;;
CCNB1IP1;3;;;
CCNC;3;;;
CCR4;3;;;
CCR7;3;;;
CD209;3;;;
CD28;3;;;
CD74;3;;;
CDH10;3;;;
CDH11;3;;;
CDH17;3;;;
CDX2;3;;;
CEP89;3;;;
CHCHD7;3;;;
CHD2;3;;;
CHIC2;3;;;
CHST11;3;;;
CIITA;3;;;
CLIP1;3;;;
CLP1;3;;;
CLTC;3;;;
CLTCL1;3;;;
CNBD1;3;;;
CNBP;3;;;
CNOT3;3;;;
CNTNAP2;3;;;
CNTRL;3;;;
COL1A1;3;;;
COL2A1;3;;;
COL3A1;3;;;
COX6C;3;;;
CPEB3;3;;;
CREB1;3;;;
CREB3L1;3;;;
CREB3L2;3;;;
CRNKL1;3;;;
CRTC1;3;;;
CRTC3;3;;;
CSF3R;3;;;
CSMD3;3;;;
CTNNA2;3;;;
CTNND1;3;;;
CTNND2;3;;;
CXCR4;3;;;
CYP2C8;3;;;
CYSLTR2;3;;;
DCAF12L2;3;;;
DCC;3;;;
DCTN1;3;;;
DDB2;3;;;
DDIT3;3;;;
DDX10;3;;;
DDX3X;3;;;
DDX5;3;;;
DDX6;3;;;
DEK;3;;;
DGCR8;3;;;
DNAJB1;3;;;
DNM2;3;;;
DROSHA;3;;;
DUX4L1;3;;;
EBF1;3;;;
ECT2L;3;;;
EIF1AX;3;;;
EIF3E;3;;;
EIF4A2;3;;;
ELF3;3;;;
ELF4;3;;;
ELK4;3;;;
ELL;3;;;
ELN;3;;;
EML4;3;;;
EPAS1;3;;;
EPS15;3;;;
ERC1;3;;;
ETNK1;3;;;
ETV1;3;;;
ETV4;3;;;
ETV5;3;;;
EXT1;3;;;
EXT2;3;;;
EZR;3;;;
FADD;3;;;
FAM131B;3;;;
FAM135B;3;;;
FAM47C;3;;;
FAT3;3;;;
FAT4;3;;;
FBLN2;3;;;
FBXO11;3;;;
FCGR2B;3;;;
FCRL4;3;;;
FEN1;3;;;
FES;3;;;
FEV;3;;;
FGFR1OP;3;;;
FHIT;3;;;
FIP1L1;3;;;
FKBP9;3;;;
FLNA;3;;;
FNBP1;3;;;
FOXO1;3;;;
FOXO3;3;;;
FOXO4;3;;;
FOXR1;3;;;
FSTL3;3;;;
FUS;3;;;
GAS7;3;;;
GMPS;3;;;
GOLGA5;3;;;
GOLPH3;3;;;
GOPC;3;;;
GPC3;3;;;
GPC5;3;;;
GPHN;3;;;
GRM3;3;;;
H3F3A;3;;;
H3F3B;3;;;
HERPUD1;3;;;
HEY1;3;;;
HIF1A;3;;;
HIP1;3;;;
HIST1H4I;3;;;
HLF;3;;;
HMGA1;3;;;
HMGA2;3;;;
HMGN2P46;3;;;
HNRNPA2B1;3;;;
HOOK3;3;;;
HOXA11;3;;;
HOXA13;3;;;
HOXA9;3;;;
HOXC11;3;;;
HOXC13;3;;;
HOXD11;3;;;
HOXD13;3;;;
HSP90AB1;3;;;
ID3;3;;;
IGF2BP2;3;;;
IGH;3;;;
IGK;3;;;
IGL;3;;;
IKBKB;3;;;
IKZF3;3;;;
IL2;3;;;
IL21R;3;;;
IL6ST;3;;;
IRS4;3;;;
ISX;3;;;
ITGAV;3;;;
ITK;3;;;
JAZF1;3;;;
KAT6B;3;;;
KAT7;3;;;
KCNJ5;3;;;
KDSR;3;;;
KIAA1549;3;;;
KIF5B;3;;;
KLF6;3;;;
KLK2;3;;;
KNL1;3;;;
KNSTRN;3;;;
KTN1;3;;;
LARP4B;3;;;
LASP1;3;;;
LATS1;3;;;
LATS2;3;;;
LCK;3;;;
LCP1;3;;;
LEF1;3;;;
LEPROTL1;3;;;
LHFPL6;3;;;
LIFR;3;;;
LMNA;3;;;
LMO2;3;;;
LPP;3;;;
LRIG3;3;;;
LSM14A;3;;;
LYL1;3;;;
LYN;3;;;
MACC1;3;;;
MAF;3;;;
MAFB;3;;;
MALAT1;3;;;
MALT1;3;;;
MAML2;3;;;
MAP3K13;3;;;
MAX;3;;;
MB21D2;3;;;
MDS2;3;;;
MECOM;3;;;
MGMT;3;;;
MLF1;3;;;
MLLT1;3;;;
MLLT10;3;;;
MLLT11;3;;;
MLLT3;3;;;
MLLT6;3;;;
MN1;3;;;
MNX1;3;;;
MRTFA;3;;;
MSI2;3;;;
MSN;3;;;
MTCP1;3;;;
MUC1;3;;;
MUC16;3;;;
MUC4;3;;;
MYCL;3;;;
MYH11;3;;;
MYH9;3;;;
MYO5A;3;;;
MYOD1;3;;;
N4BP2;3;;;
NAB2;3;;;
NACA;3;;;
NBEA;3;;;
NCKIPSD;3;;;
NCOA1;3;;;
NCOA2;3;;;
NCOA4;3;;;
NCOR2;3;;;
NDRG1;3;;;
NFATC2;3;;;
NFIB;3;;;
NFKB2;3;;;
NFKBIE;3;;;
NIN;3;;;
NONO;3;;;
NR4A3;3;;;
NSD2;3;;;
NSD3;3;;;
NT5C2;3;;;
NTHL1;3;;;
NUMA1;3;;;
NUP214;3;;;
NUP98;3;;;
NUTM1;3;;;
NUTM2B;3;;;
NUTM2D;3;;;
OLIG2;3;;;
OMD;3;;;
P2RY8;3;;;
PABPC1;3;;;
PAFAH1B2;3;;;
PATZ1;3;;;
PAX3;3;;;
PAX7;3;;;
PAX8;3;;;
PBX1;3;;;
PCBP1;3;;;
PCM1;3;;;
PDE4DIP;3;;;
PER1;3;;;
PHOX2B;3;;;
PICALM;3;;;
PLAG1;3;;;
PLCG1;3;;;
PML;3;;;
POLG;3;;;
POLQ;3;;;
POLR2A;3;;;
POT1;3;;;
POU2AF1;3;;;
POU5F1;3;;;
PPARG;3;;;
PPFIBP1;3;;;
PPM1D;3;;;
PPP6C;3;;;
PRCC;3;;;
PRDM16;3;;;
PRDM2;3;;;
PREX2;3;;;
PRF1;3;;;
PRKACA;3;;;
PRKCB;3;;;
PRKD1;3;;;
PRPF40B;3;;;
PRRX1;3;;;
PSIP1;3;;;
PTK6;3;;;
PTPN13;3;;;
PTPN6;3;;;
PTPRB;3;;;
PTPRC;3;;;
PTPRK;3;;;
PTPRT;3;;;
PWWP2A;3;;;
RABEP1;3;;;
RAD17;3;;;
RALGDS;3;;;
RANBP2;3;;;
RAP1GDS1;3;;;
RBM15;3;;;
RECQL4;3;;;
RFWD3;3;;;
RGPD3;3;;;
RGS7;3;;;
RHOH;3;;;
RMI2;3;;;
RNF213;3;;;
ROBO2;3;;;
RPL10;3;;;
RPL22;3;;;
RPL5;3;;;
RPN1;3;;;
RSPO2;3;;;
RSPO3;3;;;
S100A7;3;;;
SALL4;3;;;
SBDS;3;;;
SDC4;3;;;
SEPT5;3;;;
SEPT6;3;;;
SEPT9;3;;;
SET;3;;;
SETBP1;3;;;
SETD1B;3;;;
SETDB1;3;;;
SFPQ;3;;;
SFRP4;3;;;
SGK1;3;;;
SH2B3;3;;;
SH3GL1;3;;;
SHTN1;3;;;
SIRPA;3;;;
SIX1;3;;;
SIX2;3;;;
SKI;3;;;
SLC34A2;3;;;
SLC45A3;3;;;
SMARCD1;3;;;
SMARCE1;3;;;
SND1;3;;;
SNX29;3;;;
SOX21;3;;;
SPECC1;3;;;
SRGAP3;3;;;
SRSF3;3;;;
SS18;3;;;
SS18L1;3;;;
SSX1;3;;;
SSX2;3;;;
SSX4;3;;;
STAG1;3;;;
